stationcode,name,capacity,station_opening_hours,panne
21320,Président Roosevelt - Rouget de Lisle,0,,True
47008,Les Planètes,0,,True
35001,Jean Jaurès - Ouvrières Pivéreuses,0,,True
40015,Iles de Loisirs de Créteil,0,,True
14014,Jourdan - Stade Charléty,0,,True
13007,Le Brun - Gobelins,0,,True
30002,Jean Rostand - Paul Vaillant Couturier,0,,True
22207,Rond-point du Dr Albert Schweitzer,0,,True
31103,Gare Rosny-Bois-Perrier,0,,True
9014,Faubourg Montmartre - La Fayette,0,,True
19003,Quai de la Seine,0,,True
12151,Gare de Lyon - Place Louis Armand,0,,True
10107,Gare du Nord - Hôpital Lariboisière,0,,True
31022,Mairie de Montreuil,0,,True
46002,Rouget de Lisle,0,,True
19120,Carducci - Place Hannah Arendt,0,,True
14003,Schoelcher - Raspail,0,,True
5018,Mutualité,2,,False
12114,Victor Hugo - Jeanne Jugan,0,,True
14012,Sibelle - Alésia,0,,True
15110,Place Robert Guillemard,0,,True
22203,Tertres - Fontaine,0,,True
35020,Marcelle - Thalie,0,,True
19032,Villette - Belleville,0,,True
11024,Mairie du 11ème,0,,True
31010,Stalingrad - Désiré Chevalier,0,,True
21313,Guynemer - Séverine,0,,True
18141,Clignancourt - Sofia,0,,True
20040,Parc de Belleville - Julien Lacroix,0,,True
15108,Lourmel - Marie Skobtsov,4,,False
6107,Place Alphonse Deville,0,,True
16112,Chernoviz - Raynouard,0,,True
45001,Hôtel de Ville de Champigny sur Marne,0,,True
20202,Dupont de l'Eure - Gambetta,0,,True
5019,Poissy - Saint-Germain,0,,True
23105,Sèvres Rive Gauche,0,,True
14125,Dareau - Broussais,0,,True
44103,Pont De Charenton,0,,True
10039,Sambre et Meuse - Villette,0,,True
13020,Paul Klee - Place Augusta Holmes,0,,True
20004,Commandant l'Herminier - Gallieni,0,,True
